SITE_LAT,SITE_LON,coarse,americas_split,fine
28.6502,-17.7625,Africa,Africa,Africa
34.4234,108.8366,East Asia,East Asia,East Asia
34.435,108.877,East Asia,East Asia,East Asia
-10.8935,-77.5145,Americas,Am:Andes/S.Am,Am:Andes/S.Am
33.124,45.931,Middle East,Middle East,ME:east
16.1419,-92.1063,Americas,Am:Mesoamerica,Am:Mesoamerica
34.3798,108.7045,East Asia,East Asia,East Asia
19.6695,-96.4155,Americas,Am:Mesoamerica,Am:Mesoamerica
24.0845,32.8862,Middle East,Middle East,ME:west
30.1996,53.178,Middle East,Middle East,ME:east
15.3336,-91.493,Americas,Am:Mesoamerica,Am:Mesoamerica
20.4933,-87.7217,Americas,Am:Mesoamerica,Am:Mesoamerica
35.4586,43.2586,Middle East,Middle East,ME:west
-6.993,107.056,Oceania/SE Asia,Oceania/SE Asia,Oceania/SE Asia
-6.5148,-79.8457,Americas,Am:Andes/S.Am,Am:Andes/S.Am
15.8282,-91.884,Americas,Am:Mesoamerica,Am:Mesoamerica
-10.8914,-77.5324,Americas,Am:Andes/S.Am,Am:Andes/S.Am
40.1124,44.7303,Middle East,Middle East,ME:west
16.704,-91.065,Americas,Am:Mesoamerica,Am:Mesoamerica
21.1786,94.8793,South Asia,South Asia,South Asia
16.1403,-92.1067,Americas,Am:Mesoamerica,Am:Mesoamerica
-11.023,-77.6345,Americas,Am:Andes/S.Am,Am:Andes/S.Am
28.6502,-17.7625,Africa,Africa,Africa
32.0095,48.521,Middle East,Middle East,ME:east
-8.1145,-79.0725,Americas,Am:Andes/S.Am,Am:Andes/S.Am
22.7931,32.5454,Middle East,Middle East,ME:west
32.3923,44.3423,Middle East,Middle East,ME:west
19.5529,-97.4916,Americas,Am:Mesoamerica,Am:Mesoamerica
31.1951,30.7385,Middle East,Middle East,ME:west
30.2027,53.1779,Middle East,Middle East,ME:east
34.434,108.881,East Asia,East Asia,East Asia
15.3338,-91.4926,Americas,Am:Mesoamerica,Am:Mesoamerica
36.4595,36.852,Middle East,Middle East,ME:west
34.428,108.851,East Asia,East Asia,East Asia
34.428,108.853,East Asia,East Asia,East Asia
34.628,112.383,East Asia,East Asia,East Asia
24.0845,32.8861,Middle East,Middle East,ME:west
31.5624,46.1768,Middle East,Middle East,ME:east
20.4503,-97.3774,Americas,Am:Mesoamerica,Am:Mesoamerica
30.794,34.7752,Middle East,Middle East,ME:west
31.62,45.9342,Middle East,Middle East,ME:east
29.381,67.6165,South Asia,South Asia,South Asia
18.4147,-88.7915,Americas,Am:Mesoamerica,Am:Mesoamerica
29.7798,51.5761,Middle East,Middle East,ME:east
14.8745,-90.663,Americas,Am:Mesoamerica,Am:Mesoamerica
13.8006,-89.3892,Americas,Am:Mesoamerica,Am:Mesoamerica
19.8136,-98.5566,Americas,Am:Mesoamerica,Am:Mesoamerica
31.6267,-91.8183,Americas,Am:N.America,Am:N.America
20.2153,-87.4293,Americas,Am:Mesoamerica,Am:Mesoamerica
18.2247,30.7456,Middle East,Middle East,ME:west
36.5231,34.1233,Middle East,Middle East,ME:west
36.5217,34.1255,Middle East,Middle East,ME:west
36.5217,34.1255,Middle East,Middle East,ME:west
43.5177,67.7698,Other,Other,Other
18.5353,31.8297,Middle East,Middle East,ME:west
39.495,35.3766,Middle East,Middle East,ME:west
35.671,36.5691,Middle East,Middle East,ME:west
32.5403,44.6047,Middle East,Middle East,ME:west
-6.4722,-79.7907,Americas,Am:Andes/S.Am,Am:Andes/S.Am
26.1578,31.9664,Middle East,Middle East,ME:west
37.0804,-8.1202,Europe-Med,Europe-Med,Med:south
17.4841,-92.0462,Americas,Am:Mesoamerica,Am:Mesoamerica
20.4485,-97.3772,Americas,Am:Mesoamerica,Am:Mesoamerica
34.0754,-5.5535,Europe-Med,Europe-Med,Med:south
21.091,-89.59,Americas,Am:Mesoamerica,Am:Mesoamerica
16.3952,-90.2044,Americas,Am:Mesoamerica,Am:Mesoamerica
20.4483,-97.3777,Americas,Am:Mesoamerica,Am:Mesoamerica
33.3537,44.2023,Middle East,Middle East,ME:west
30.9617,46.1051,Middle East,Middle East,ME:east
30.1996,53.1789,Middle East,Middle East,ME:east
16.8998,-90.9645,Americas,Am:Mesoamerica,Am:Mesoamerica
20.3587,-89.7711,Americas,Am:Mesoamerica,Am:Mesoamerica
20.319,-87.3672,Americas,Am:Mesoamerica,Am:Mesoamerica
16.7027,-93.0041,Americas,Am:Mesoamerica,Am:Mesoamerica
-6.5115,-79.8396,Americas,Am:Andes/S.Am,Am:Andes/S.Am
17.7657,-88.6528,Americas,Am:Mesoamerica,Am:Mesoamerica
