SITE NAME,COUNTRY,LAT,LON,BEARING,independent_intersection_lat,d_I (current),d_II,d_III,d_IV,d_V,d_min_5pole,nearest_pole_5pole,d_min_6pole,nearest_pole_6pole
Kuntur Wasi,Peru,-7.129,-78.8462,42.0,25.759698316359305,64.2403016836407,50.240301683640695,46.4403016836407,38.34030168364069,26.540301683640692,26.540301683640692,V,16.240301683640695,VI
Acaray,Peru,-11.0584,-77.533,38.0,26.201060973791588,63.798939026208416,49.798939026208416,45.99893902620842,37.89893902620841,26.09893902620841,26.09893902620841,V,15.798939026208412,VI
Cusco,Peru,-13.5077,-71.9822,31.0,26.66813463787889,63.33186536212111,49.33186536212111,45.53186536212111,37.4318653621211,25.631865362121108,25.631865362121108,V,15.33186536212111,VI
El Paraíso,Peru,-11.9539,-77.118,36.5,26.919043696467703,63.0809563035323,49.0809563035323,45.2809563035323,37.18095630353229,25.380956303532294,25.380956303532294,V,15.080956303532297,VI
Miraya,Peru,-10.8807,-77.5408,37.0,27.426128796252954,62.573871203747046,48.573871203747046,44.77387120374705,36.67387120374704,24.873871203747044,24.873871203747044,V,14.573871203747046,VI
Chincha Paracas Platform Mounds,Peru,-13.5024,-76.045,34.0,27.824307843686135,62.175692156313865,48.175692156313865,44.37569215631387,36.27569215631386,24.475692156313862,24.475692156313862,V,14.175692156313865,VI
Las Haldas,Peru,-9.7031,-78.2965,37.0,28.858660677392532,61.141339322607465,47.141339322607465,43.34133932260747,35.24133932260746,23.441339322607465,23.441339322607465,V,13.141339322607468,VI
Caral,Peru,-10.8926,-77.5252,35.5,29.120229068514718,60.87977093148528,46.87977093148528,43.079770931485285,34.97977093148528,23.17977093148528,23.17977093148528,V,12.879770931485282,VI
Caral,Peru,-10.8844,-77.5407,35.0,29.7280940179137,60.271905982086295,46.271905982086295,42.4719059820863,34.37190598208629,22.571905982086296,22.571905982086296,V,12.271905982086299,VI
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,42.0,29.95235652558739,60.04764347441261,46.04764347441261,42.24764347441261,34.147643474412604,22.347643474412607,22.347643474412607,V,12.04764347441261,VI
Cusco,Peru,-13.5077,-71.9822,28.0,30.791251743995744,59.208748256004256,45.208748256004256,41.40874825600426,33.30874825600425,21.508748256004253,21.508748256004253,V,11.208748256004256,VI
Wari Willka,Peru,-12.1176,-75.2061,31.0,31.48893369139461,58.51106630860539,44.51106630860539,40.711066308605396,32.61106630860539,20.811066308605387,20.811066308605387,V,10.51106630860539,VI
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,40.0,31.727782406521147,58.27221759347886,44.27221759347886,40.47221759347886,32.37221759347885,20.57221759347885,20.57221759347885,V,10.272217593478853,VI
Allpacoto,Peru,-10.8795,-77.5121,33.0,32.12955008071284,57.87044991928716,43.87044991928716,40.070449919287164,31.970449919287155,20.170449919287158,20.170449919287158,V,9.87044991928716,VI
Chankillo,Peru,-9.5495,-78.2299,34.0,32.34279306909258,57.65720693090742,43.65720693090742,39.857206930907424,31.757206930907415,19.957206930907418,19.957206930907418,V,9.65720693090742,VI
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,39.0,32.64508901387057,57.35491098612943,43.35491098612943,39.554910986129435,31.454910986129427,19.65491098612943,19.65491098612943,V,9.354910986129433,VI
Capilla,Peru,-10.9038,-77.378,32.0,33.239112284288225,56.760887715711775,42.760887715711775,38.96088771571178,30.86088771571177,19.06088771571177,19.06088771571177,V,8.760887715711775,VI
Lurihuasi,Peru,-10.8758,-77.5506,32.0,33.43461700251095,56.56538299748905,42.56538299748905,38.765382997489056,30.665382997489047,18.86538299748905,18.86538299748905,V,8.565382997489053,VI
Miraya,Peru,-10.8828,-77.5399,32.0,33.41983551684999,56.58016448315001,42.58016448315001,38.78016448315001,30.68016448315,18.880164483150004,18.880164483150004,V,8.580164483150007,VI
Caral,Peru,-10.8912,-77.5186,32.0,33.39322723837717,56.60677276162283,42.60677276162283,38.80677276162283,30.706772761622823,18.906772761622825,18.906772761622825,V,8.606772761622828,VI
Allpacoto,Peru,-10.8805,-77.5156,32.0,33.395571144786445,56.604428855213555,42.604428855213555,38.80442885521356,30.70442885521355,18.904428855213553,18.904428855213553,V,8.604428855213555,VI
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,38.0,33.58314051686842,56.41685948313158,42.41685948313158,38.616859483131584,30.516859483131576,18.71685948313158,18.71685948313158,V,8.416859483131581,VI
