SITE NAME,COUNTRY,LAT,LON,BEARING,block
Chogha Zanbil,Myanmar,21.1685,94.8584,-19.0,South Asia
Temples of Bagan (medium cluster),Peru,-8.0948,-79.067,17.0,Americas
Chan-Chan,Peru,-10.8805,-77.5148,16.0,Americas
Allpacoto,Jordan,32.2767,35.8902,-37.0,Middle East
Jerash,Libya,32.6392,14.2951,-38.0,Europe-Med
Leptis Magna,Sri Lanka,7.8159,80.3116,-25.0,South Asia
Yapahuwa Temple,Greece,37.1101,25.3723,-40.0,Europe-Med
Portara,Sudan,18.5358,31.8242,-33.0,Middle East
Jebel Barkal,Mexico,20.681,-88.57,27.0,Americas
Chichen Itza,Mexico,16.703,-93.0037,27.0,Americas
Chiapa de Corzo,Iraq,33.484,44.728,-35.0,Middle East
Eshnunna (Sumer),Iraq,30.963,46.103,-33.0,Middle East
Great Ziggurat of Ur,Mexico,21.1603,-99.3965,30.0,Americas
Tancama,Mexico,21.0915,-89.5967,27.0,Americas
Dzibilchaltun,Turkey,40.1402,44.5384,-37.0,Middle East
Susi Temple (and Erebuni Fortress),Mexico,19.329,-98.8923,29.0,Americas
Acozac,Mexico,14.8707,-90.6661,24.0,Americas
Mixco Viejo,Iran,29.9359,52.8926,-32.0,Middle East
Persepolis,Iran,30.6521,61.401,-30.0,South Asia
Burnt City,Italy,41.606,15.8836,-42.0,Europe-Med
Ipogei Capparelli,Myanmar,21.1935,94.8951,-18.0,South Asia
Temples of Bagan (medium cluster),Mexico,17.4841,-92.0462,26.0,Americas
Palenque,Mexico,20.2487,-89.647,26.0,Americas
Kabah,Peru,-8.1104,-79.0747,16.0,Americas
Chan-Chan,Mexico,19.0013,-88.2304,25.0,Americas
Chacchoben,Jordan,32.3252,35.7273,-35.0,Middle East
Ajlun Castle,Mexico,14.9232,-92.1798,25.0,Americas
Izapa,Egypt,25.2934,32.5562,-33.0,Middle East
Temple of Esna,Mexico,15.8276,-91.8838,25.0,Americas
Lagartero,Mexico,22.4582,-102.8218,30.0,Americas
La Quemada ,Peru,-13.5024,-76.045,14.0,Americas
Chincha Paracas Platform Mounds,Morocco,34.0741,-5.5549,-32.0,Europe-Med
Volubilis,Mexico,16.8988,-92.0097,25.0,Americas
Toniná,Crimea,45.3739,36.526,-40.0,Other
Kurgan,Portugal,37.9976,-7.9494,-34.0,Europe-Med
Pisões,India,20.5536,75.7012,-24.0,South Asia
Ajanta Caves ,Mexico,16.9578,-96.4496,26.0,Americas
Yagul,Mexico,20.2149,-87.4294,24.0,Americas
Tulum,Iraq,33.484,44.728,-33.0,Middle East
Eshnunna (Sumer),Libya,32.637,14.2935,-34.0,Europe-Med
Leptis Magna,Mexico,19.2678,-103.7271,28.0,Americas
La Campana,Mexico,18.2779,-93.2003,25.0,Americas
Comalcalco,Algeria,36.3222,5.7351,-36.0,Europe-Med
Djemila,Italy,42.4112,11.2866,-40.0,Europe-Med
Cosa,Myanmar,21.1831,94.8905,-17.0,South Asia
Temples of Bagan (medium cluster),Spain,38.0381,-3.6259,-34.0,Europe-Med
Cástulo,Bulgaria,42.1512,24.752,-39.0,Europe-Med
Plovdiv,Mexico,20.681,-88.57,24.0,Americas
Chichen Itza,Peru,-8.1134,-79.0769,15.0,Americas
Chan-Chan,Peru,-14.8193,-75.1162,13.0,Americas
Cahuachi,Libya,32.7088,20.9541,-34.0,Europe-Med
Ptolemais,Guatemala,16.0039,-90.0439,23.0,Americas
Cancuén,Mexico,20.1692,-89.3388,24.0,Americas
Chacmultun,Egypt,30.9566,31.5166,-33.0,Middle East
Unknown ruins in Egypt,Mexico,16.9717,-96.492,25.0,Americas
Lambityeco,Mexico,16.9584,-96.4505,25.0,Americas
Yagul,Italy,40.7483,14.4889,-38.0,Europe-Med
Pompeii,Peru,-10.8712,-77.5308,14.0,Americas
Cerro Colorado,Romania,45.9147,22.8148,-41.0,Europe-Med
Micia,Iraq,30.962,46.104,-31.0,Middle East
Ruins at Ur,Cambodia,13.783,104.5372,-13.0,Oceania/SE Asia
Pyramid of Koh-Ker,Mexico,14.9232,-92.18,23.0,Americas
Izapa,Portugal,40.0992,-8.4949,-33.0,Europe-Med
Conímbriga,Spain,40.1663,-6.1008,-34.0,Europe-Med
Caparra,Peru,-7.077,-79.684,15.0,Americas
Calakmul,Mexico,18.1067,-89.8116,23.0,Americas
Red Monastery,Egypt,26.5547,31.6199,-31.0,Middle East
Ingapirca,Ecuador,-2.5398,-78.8749,15.0,Americas
Delphi,Greece,38.4823,22.5013,-36.0,Europe-Med
Tomb of Empress Xu,China,34.375,108.685,-11.0,East Asia
Didyma,Turkey,37.385,27.2563,-35.0,Europe-Med
El Paraiso,Peru,-11.953,-77.1186,13.5,Americas
Libarna,Italy,44.7057,8.8671,-40.0,Europe-Med
Water Temple of Zaghouan,Tunesia,36.3871,10.1312,-34.0,Europe-Med
Toniná,Mexico,16.8988,-92.0103,23.0,Americas
Labna,Mexico,20.173,-89.579,23.0,Americas
Lamanai,Belize,17.7647,-88.6531,22.0,Americas
Leptis Magna,Libya,32.6382,14.292,-32.0,Europe-Med
Cantona,Mexico,19.5521,-97.4897,25.0,Americas
Cantona,Mexico,19.5517,-97.4868,25.0,Americas
Aguateca,Guatemala,16.3952,-90.2044,22.0,Americas
Kotosh,Peru,-9.9311,-76.2796,13.0,Americas
Al-Rahba castle,Syria,35.1157,40.2663,-32.0,Middle East
El Tepozteco,Mexico,19.0008,-99.1014,25.0,Americas
Timgad,Algeria,35.4857,6.4637,-32.0,Europe-Med
Cerveteri,Italy,42.0031,12.0996,-37.0,Europe-Med
Alba Fucens,Italy,42.0799,13.4113,-37.0,Europe-Med
Temples of Bagan (small cluster),Myanmar,21.1659,94.8602,-16.0,South Asia
La Campana,Mexico,19.269,-103.7252,26.0,Americas
Saksaywaman,Peru,-13.5091,-71.9828,11.0,Americas
Cusco,Peru,-13.5077,-71.9822,11.0,Americas
Comalcalco,Mexico,18.2789,-93.2009,23.0,Americas
Mehrgarh,Pakistan,29.3838,67.616,-25.0,South Asia
Balamku,Mexico,18.5603,-89.94535,22.0,Americas
Elephantin Island,Egypt,24.0845,32.8861,-29.0,Middle East
Chichen Itza,Mexico,20.681,-88.57,22.0,Americas
Koshoy Korgon,Kyrgyzstan,41.123,75.7,-24.0,Other
Chavín de Huantar,Peru,-9.594,-77.176,13.0,Americas
Edzna,Mexico,19.5957,-90.2306,22.0,Americas
Uxmal,Mexico,20.3596,-89.7714,22.0,Americas
Nimrod Castle,Syria,33.2527,35.7147,-31.0,Middle East
Great Pyramid of Cholula,Mexico,19.0575,-98.3019,24.0,Americas
Dainzu,Mexico,17.0036,-96.5566,23.0,Americas
Dzibilchaltun,Mexico,21.092,-89.6006,22.0,Americas
Dzibanche,Mexico,18.6386,-88.7594,21.0,Americas
Tulum,Mexico,20.2146,-87.4289,21.0,Americas
Hierapolis,Turkey,37.925,29.1258,-33.0,Europe-Med
Avdat,Israel,30.7944,34.7735,-30.0,Middle East
El Chanal,Mexico,19.2929,-103.7054,25.0,Americas
Santa Cecilia Acatitlan,Mexico,19.5525,-99.1733,24.0,Americas
San Andrés,El Salvador,13.8025,-89.3875,20.0,Americas
Pomac Forest,Peru,-6.4521,-79.8024,13.0,Americas
Great Kyz Kala,Turkmenistan,37.655,62.1525,-27.0,South Asia
Comalcalco,Mexico,18.278,-93.20058,22.0,Americas
Dragon Houses Euboea,Greece,38.1528,24.2635,-33.0,Europe-Med
Hattusa,Turkey,40.0194,34.6144,-33.0,Middle East
Ajlun Castle,Jordan,32.3252,35.7273,-30.0,Middle East
Chichen Itza,Mexico,20.681,-88.57,21.0,Americas
Sechin Alto,Peru,-9.4886,-78.2588,13.0,Americas
Tefessedt,Algeria,36.5946,2.4439,-30.0,Europe-Med
Sha'ar HaGolan,Israel,32.6829,35.6018,-30.0,Middle East
Ziggurat of Assur,Iraq,35.4597,43.2612,-30.0,Middle East
Babylon,Iraq,32.53,44.4262,-29.0,Middle East
Toniná,Mexico,16.9022,-92.0095,21.0,Americas
La Quemada ,Mexico,22.4579,-102.8216,25.0,Americas
Altun Ha,Belize,17.7642,-88.347,20.0,Americas
Cástulo,Spain,38.0366,-3.6252,-29.0,Europe-Med
Kuara (Sumer),Iraq,30.835,46.332,-28.0,Middle East
Thanjavur Brahadeeswarar temple,India,10.7825,79.1315,-20.0,South Asia
Brihadeeswarar Temple,India,10.7826,79.1318,-20.0,South Asia
Temples of Bagan (medium cluster),Myanmar,21.1858,94.8936,-15.0,South Asia
Uxmal,Mexico,20.3583,-89.772,21.0,Americas
Xochicalco,Mexico,18.8054,-99.2967,23.0,Americas
Chacchoben,Mexico,19.0013,-88.2304,20.0,Americas
Jiayuguan Fortress,China,39.8014,98.2158,-14.5,East Asia
Cihuatan,El Salvador,13.981,-89.1626,19.0,Americas
Tomb of Emperor Cheng of Han ,China,34.375,108.698,-10.0,East Asia
El Mirador,Guatemala,17.756,-89.921,20.0,Americas
